storm_id,storm_name,num_of_obs,datetime,category,record_identifier,status_of_system,latitude,longitude,maximum_sustained_wind_knots,central_pressure_mb,34_kt_ne_nm,34_kt_se_nm,34_kt_sw_nm,34_kt_nw_nm,50_kt_ne_nm,50_kt_se_nm,50_kt_sw_nm,50_kt_nw_nm,64_kt_ne_nm,64_kt_se_nm,64_kt_sw_nm,64_kt_nw_nm,radius_of_max_wind_nm
AL091870,UNNAMED,18,1870-10-20 20:00:00,1,L,HU,26.0,-81.8,80,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL091870,UNNAMED,18,1870-10-21 00:00:00,1,,HU,26.7,-81.1,70,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL091870,UNNAMED,18,1870-10-21 06:00:00,Tropical Storm,,TS,27.9,-79.7,60,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL031871,UNNAMED,41,1871-08-16 18:00:00,3,,HU,26.9,-79.8,100,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL031871,UNNAMED,41,1871-08-17 00:00:00,3,,HU,27.0,-80.1,100,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL031871,UNNAMED,41,1871-08-17 02:00:00,3,L,HU,27.1,-80.2,100,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,30
AL031871,UNNAMED,41,1871-08-17 06:00:00,2,,HU,27.2,-80.5,90,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL031871,UNNAMED,41,1871-08-17 12:00:00,1,,HU,27.6,-81.1,80,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL031871,UNNAMED,41,1871-08-17 18:00:00,1,,HU,28.3,-81.7,70,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL031871,UNNAMED,41,1871-08-18 00:00:00,1,,HU,29.0,-82.1,70,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL031871,UNNAMED,41,1871-08-18 06:00:00,Tropical Storm,,TS,29.7,-82.5,60,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL031871,UNNAMED,41,1871-08-18 12:00:00,Tropical Storm,,TS,30.4,-82.3,60,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL031871,UNNAMED,41,1871-08-18 18:00:00,Tropical Storm,,TS,30.8,-81.9,50,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL031871,UNNAMED,41,1871-08-19 00:00:00,Tropical Storm,,TS,31.3,-81.4,50,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL031871,UNNAMED,41,1871-08-22 12:00:00,Tropical Storm,,TS,31.0,-79.5,60,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL031871,UNNAMED,41,1871-08-22 18:00:00,Tropical Storm,,TS,31.1,-80.4,60,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL031871,UNNAMED,41,1871-08-22 12:00:00,Tropical Storm,,TS,31.0,-79.5,60,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL031871,UNNAMED,41,1871-08-22 18:00:00,Tropical Storm,,TS,31.1,-80.4,60,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL031871,UNNAMED,41,1871-08-23 00:00:00,Tropical Storm,L,TS,31.2,-81.4,60,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL031871,UNNAMED,41,1871-08-23 06:00:00,Tropical Storm,,TS,31.3,-82.4,50,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL041871,UNNAMED,57,1871-08-25 00:00:00,2,,HU,27.0,-79.5,90,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL041871,UNNAMED,57,1871-08-25 05:00:00,2,L,HU,27.1,-80.3,90,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL041871,UNNAMED,57,1871-08-25 06:00:00,2,,HU,27.7,-80.5,90,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL041871,UNNAMED,57,1871-08-25 12:00:00,1,,HU,28.3,-81.3,70,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL041871,UNNAMED,57,1871-08-25 18:00:00,Tropical Storm,,TS,28.9,-82.2,50,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL041871,UNNAMED,57,1871-08-26 00:00:00,Tropical Storm,,TS,29.4,-83.1,40,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL041871,UNNAMED,57,1871-08-26 06:00:00,Tropical Storm,,TS,29.9,-83.8,40,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL041871,UNNAMED,57,1871-08-26 12:00:00,Tropical Storm,,TS,30.5,-84.3,40,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
